sample_number,pressure_elapsed_ms,adc_start_ticks_ms,adc_end_ticks_ms,adc_midpoint_ticks_ms,s1_raw_count,s2_raw_count,s3_raw_count,s4_raw_count,s5_raw_count,average_raw_count,nominal_psi,adc_available,shelly_start_ticks_ms,shelly_end_ticks_ms,pump_running_derived,power_w,voltage_v,shelly_available,shelly_valid
1,137,3524253,3524523,3524388,12124,12125,12124,12125,12125,12124.600,44.33406,1,3524523,3525131,0,12.27,248.15,1,1
2,1173,3525279,3525569,3525424,12124,12125,12124,12127,12126,12125.200,44.33688,1,3525569,3525830,0,12.17,248.22,1,1
3,2158,3526268,3526550,3526409,12124,12128,12126,12127,12126,12126.200,44.34156,1,3526550,3526853,0,12.17,248.26,1,1
4,3143,3527260,3527529,3527394,12127,12126,12126,12125,12124,12125.600,44.33875,1,3527530,3527714,0,12.16,248.34,1,1
5,4164,3528251,3528579,3528415,12126,12126,12125,12125,12124,12125.200,44.33688,1,3528580,3528723,0,12.17,248.25,1,1
6,5160,3529268,3529554,3529411,12124,12124,12126,12127,12130,12126.200,44.34156,1,3529554,3529728,0,12.12,248.21,1,1
7,6150,3530267,3530536,3530401,12127,12124,12127,12129,12129,12127.200,44.34625,1,3530537,3530851,0,12.24,248.24,1,1
8,7169,3531259,3531581,3531420,12130,12132,12132,12132,12131,12131.400,44.36594,1,3531581,3531748,0,12.48,248.22,1,1
9,8160,3532263,3532559,3532411,12421,12406,12430,12464,12468,12437.800,45.80219,1,3532559,3532808,1,2839.33,246.43,1,1
10,9151,3533260,3533544,3533402,12335,12343,12360,12356,12360,12350.800,45.39438,1,3533544,3533824,1,2946.39,246.46,1,1
11,10180,3534277,3534586,3534431,12415,12420,12424,12422,12424,12421.000,45.72344,1,3534587,3534731,1,2935.09,245.64,1,1
12,11158,3535251,3535567,3535409,12438,12450,12456,12460,12463,12453.400,45.87531,1,3535568,3535871,1,2942.12,246.41,1,1
13,13111,3537200,3537524,3537362,12539,12542,12541,12545,12547,12542.800,46.29438,1,3537524,3537684,1,2939.93,246.46,1,1
14,14056,3538173,3538442,3538307,12582,12575,12586,12589,12590,12584.400,46.48938,1,3538442,3538702,1,2935.74,246.53,1,1
15,15084,3539183,3539487,3539335,12631,12632,12630,12635,12640,12633.600,46.72000,1,3539487,3539662,1,2936.36,246.59,1,1
16,16085,3540191,3540481,3540336,12672,12668,12668,12671,12681,12672.000,46.90000,1,3540481,3540588,1,2939.45,246.57,1,1
17,17061,3541177,3541447,3541312,12708,12704,12710,12710,12723,12711.000,47.08281,1,3541447,3541670,1,2942.43,246.51,1,1
18,18087,3542183,3542493,3542338,12757,12756,12757,12766,12770,12761.200,47.31812,1,3542493,3542799,1,2939.01,246.53,1,1
19,19079,3543188,3543472,3543330,12789,12800,12798,12800,12806,12798.600,47.49344,1,3543472,3543586,1,2934.85,246.51,1,1
20,20107,3544197,3544520,3544358,12852,12846,12843,12849,12850,12848.000,47.72500,1,3544520,3544853,1,2935.84,246.65,1,1
21,21086,3545176,3545499,3545337,12884,12895,12893,12890,12896,12891.600,47.92938,1,3545499,3545769,1,2939.79,246.65,1,1
22,22084,3546190,3546480,3546335,12925,12922,12933,12940,12937,12931.400,48.11594,1,3546481,3546692,1,2940.5,246.62,1,1
23,23067,3547177,3547460,3547318,12972,12967,12977,12968,12980,12972.800,48.31000,1,3547460,3547721,1,2937.01,246.69,1,1
24,24087,3548173,3548503,3548338,13012,13012,13030,13031,13028,13022.600,48.54343,1,3548504,3548744,1,2933.23,246.65,1,1
25,25088,3549198,3549481,3549339,13060,13059,13073,13069,13067,13065.600,48.74500,1,3549481,3549771,1,2933.77,246.71,1,1
26,26067,3550176,3550460,3550318,13101,13102,13110,13116,13115,13108.800,48.94750,1,3550461,3550573,1,2936.23,246.68,1,1
27,27094,3551178,3551512,3551345,13149,13158,13162,13159,13165,13158.600,49.18094,1,3551513,3551704,1,2938.91,246.57,1,1
28,28076,3552169,3552486,3552327,13191,13202,13207,13199,13206,13201.000,49.37969,1,3552486,3552739,1,2936.68,246.6,1,1
29,29081,3553197,3553467,3553332,13236,13252,13249,13251,13254,13248.400,49.60188,1,3553467,3553664,1,2933.43,246.59,1,1
30,30100,3554186,3554516,3554351,13282,13288,13289,13291,13302,13290.400,49.79875,1,3554516,3554693,1,2931.26,246.65,1,1
31,31087,3555183,3555493,3555338,13326,13326,13330,13333,13337,13330.400,49.98625,1,3555494,3555711,1,2932.34,246.73,1,1
32,32071,3556170,3556475,3556322,13364,13377,13368,13372,13386,13373.400,50.18781,1,3556476,3556737,1,2935.8,246.74,1,1
33,33057,3557167,3557450,3557308,13419,13412,13424,13419,13424,13419.600,50.40438,1,3557450,3557659,1,2934.98,246.68,1,1
34,34094,3558194,3558497,3558345,13464,13474,13476,13470,13476,13472.000,50.65000,1,3558498,3558714,1,2931.27,246.97,1,1
35,35080,3559186,3559476,3559331,13509,13513,13514,13512,13528,13515.200,50.85250,1,3559476,3559609,1,2928.56,246.97,1,1
36,36068,3560178,3560461,3560319,13551,13553,13555,13566,13562,13557.400,51.05031,1,3560461,3560602,1,2928.6,246.91,1,1
37,37054,3561171,3561439,3561305,13592,13598,13597,13605,13607,13599.800,51.24906,1,3561440,3561658,1,2931.21,246.95,1,1
38,38082,3562179,3562487,3562333,13635,13645,13652,13650,13652,13646.800,51.46938,1,3562487,3562605,1,2933.89,247.04,1,1
39,39124,3563218,3563533,3563375,13686,13691,13684,13702,13700,13692.600,51.68406,1,3563533,3563809,1,2931.43,247.0,1,1
40,40095,3564187,3564506,3564346,13727,13728,13726,13738,13737,13731.200,51.86500,1,3564507,3564733,1,2926.48,246.71,1,1
41,41080,3565176,3565486,3565331,13778,13772,13782,13774,13775,13776.200,52.07594,1,3565487,3565756,1,2925.56,246.77,1,1
42,42068,3566171,3566467,3566319,13824,13811,13814,13821,13832,13820.400,52.28312,1,3566467,3566782,1,2927.48,246.76,1,1
43,43104,3567194,3567517,3567355,13874,13860,13861,13877,13871,13868.600,52.50906,1,3567517,3567759,1,2929.87,246.73,1,1
44,44092,3568192,3568495,3568343,13898,13910,13910,13916,13912,13909.200,52.69938,1,3568495,3568619,1,2929.99,246.76,1,1
45,45083,3569193,3569476,3569334,13947,13955,13952,13959,13965,13955.600,52.91688,1,3569476,3569753,1,2928.37,246.86,1,1
46,46106,3570198,3570517,3570357,13992,14001,13999,13996,14004,13998.400,53.11750,1,3570518,3570780,1,2925.19,246.81,1,1
47,47095,3571195,3571498,3571346,14041,14043,14042,14050,14049,14045.000,53.33594,1,3571499,3571700,1,2922.68,246.63,1,1
48,48081,3572184,3572480,3572332,14079,14084,14087,14092,14097,14087.800,53.53656,1,3572481,3572729,1,2923.8,246.63,1,1
49,49109,3573197,3573524,3573360,14127,14130,14139,14139,14140,14135.000,53.75781,1,3573525,3573702,1,2926.32,246.54,1,1
50,50104,3574184,3574527,3574355,14173,14179,14184,14183,14198,14183.400,53.98469,1,3574528,3574692,1,2927.14,246.49,1,1
51,51079,3575173,3575488,3575330,14227,14225,14230,14232,14227,14228.200,54.19469,1,3575489,3575802,1,2928.24,246.48,1,1
52,52075,3576188,3576464,3576326,14270,14276,14272,14279,14276,14274.600,54.41219,1,3576465,3576725,1,2924.17,246.49,1,1
53,53059,3577175,3577445,3577310,14314,14311,14318,14316,14319,14315.600,54.60438,1,3577445,3577749,1,2921.1,246.54,1,1
54,54092,3578198,3578488,3578343,14354,14361,14366,14362,14377,14364.000,54.83125,1,3578488,3578616,1,2919.88,246.55,1,1
55,55070,3579170,3579473,3579321,14398,14405,14409,14411,14412,14407.000,55.03281,1,3579473,3580016,1,2920.53,246.61,1,1
56,56065,3580179,3580454,3580316,14449,14455,14460,14460,14462,14457.200,55.26812,1,3580454,3580619,1,2921.47,246.5,1,1
57,57083,3581169,3581499,3581334,14495,14500,14505,14507,14512,14503.800,55.48656,1,3581500,3581745,1,2923.81,246.45,1,1
58,58071,3582167,3582477,3582322,14545,14542,14556,14548,14560,14550.200,55.70406,1,3582477,3582770,1,2922.9,246.25,1,1
59,59106,3583193,3583522,3583357,14598,14594,14596,14597,14610,14599.000,55.93281,1,3583523,3583802,1,2922.21,246.43,1,1
60,60097,3584193,3584503,3584348,14631,14628,14639,14644,14651,14638.600,56.11844,1,3584504,3584754,1,2919.74,246.47,1,1
61,61086,3585193,3585481,3585337,14675,14688,14683,14694,14686,14685.200,56.33688,1,3585481,3585724,1,2917.31,246.52,1,1
62,62076,3586189,3586465,3586327,14724,14727,14733,14734,14734,14730.400,56.54875,1,3586466,3586769,1,2914.87,246.61,1,1
63,63100,3587196,3587506,3587351,14770,14774,14782,14779,14786,14778.200,56.77281,1,3587506,3587791,1,2915.94,246.62,1,1
64,65067,3589167,3589470,3589318,14870,14861,14873,14874,14876,14870.800,57.20688,1,3589471,3589603,1,2918.64,246.54,1,1
65,66053,3590159,3590450,3590304,14904,14908,14905,14923,14920,14912.000,57.40000,1,3590450,3590721,1,2921.63,246.7,1,1
66,67040,3591149,3591433,3591291,14954,14952,14961,14962,14961,14958.000,57.61562,1,3591433,3591650,1,2919.34,246.72,1,1
67,68060,3592146,3592476,3592311,15000,15010,15011,15012,15019,15010.400,57.86125,1,3592476,3592606,1,2916.49,246.9,1,1
68,69050,3593149,3593454,3593301,15055,15048,15058,15056,15059,15055.200,58.07125,1,3593454,3593589,1,2912.67,246.82,1,1
69,70035,3594135,3594438,3594286,15088,15092,15105,15098,15098,15096.200,58.26344,1,3594439,3594535,1,2911.95,246.71,1,1
70,71032,3595151,3595416,3595283,15143,15150,15146,15153,15153,15149.000,58.51094,1,3595416,3595538,1,2913.62,246.72,1,1
71,72051,3596143,3596462,3596302,15188,15199,15205,15193,15206,15198.200,58.74156,1,3596463,3596663,1,2915.98,246.71,1,1
72,73056,3597169,3597445,3597307,15232,15234,15240,15244,15248,15239.600,58.93562,1,3597445,3597688,1,2918.36,246.73,1,1
73,74032,3598145,3598421,3598283,15284,15278,15284,15288,15290,15284.800,59.14750,1,3598422,3598721,1,2916.3,246.77,1,1
74,75053,3599143,3599466,3599304,15332,15338,15345,15344,15340,15339.800,59.40531,1,3599466,3599592,1,2914.48,246.69,1,1
75,76043,3600140,3600448,3600294,15376,15380,15379,15389,15396,15384.000,59.61250,1,3600449,3600662,1,2910.84,246.77,1,1
76,77037,3601146,3601430,3601288,15426,15426,15431,15432,15445,15432.000,59.83750,1,3601430,3601542,1,2908.21,246.78,1,1
