record_type,capture_id,direction,gauge_psi,s1_raw_count,s2_raw_count,s3_raw_count,s4_raw_count,s5_raw_count,average_raw_count,measurement_start_ticks_ms,measurement_end_ticks_ms,measurement_midpoint_ticks_ms,nominal_psi,flow_window_seconds,estimated_flow_gpm
capture,1,falling,60.0,16407,16407,16406,16406,16402,16405.600,2849475,2849800,2849637,64.40124,3,-0.48133
capture,2,falling,59.0,16154,16150,16151,16151,16149,16151.000,2895472,2895756,2895614,63.20781,3,-0.09282
capture,3,falling,58.0,16002,16005,16002,16001,16000,16002.000,2951481,2951779,2951630,62.50938,3,+0.00383
capture,4,falling,57.0,15665,15666,15668,15666,15668,15666.600,2993466,2993765,2993615,60.93719,3,+0.15750
capture,5,falling,56.0,15540,15542,15540,15541,15540,15540.600,3015473,3015772,3015622,60.34656,3,+0.25704
capture,6,falling,55.0,15386,15389,15387,15387,15386,15387.000,3037463,3037781,3037622,59.62656,3,+0.35339
capture,7,falling,54.0,15198,15194,15197,15199,15198,15197.200,3057465,3057763,3057614,58.73688,3,+0.43622
capture,8,falling,53.0,14950,14950,14950,14951,14948,14949.800,3076478,3076768,3076623,57.57719,3,+0.50886
capture,9,falling,52.0,14774,14775,14776,14779,14778,14776.400,3104467,3104785,3104626,56.76438,3,+0.44094
capture,10,falling,51.0,14552,14552,14554,14554,14554,14553.200,3124475,3124774,3124624,55.71812,3,+23.58184
capture,11,falling,50.0,14390,14389,14390,14390,14388,14389.400,3139478,3139789,3139633,54.95031,3,+1.00395
capture,12,falling,49.0,14114,14117,14115,14113,14115,14114.800,3156478,3156772,3156625,53.66312,3,+6.28463
capture,13,falling,48.0,13917,13918,13918,13920,13920,13918.600,3181472,3181790,3181631,52.74344,3,+0.72521
capture,14,falling,47.0,13699,13699,13700,13700,13700,13699.600,3199477,3199751,3199614,51.71688,3,+0.62602
capture,15,falling,46.0,13469,13468,13468,13470,13470,13469.000,3217479,3217776,3217627,50.63594,3,+0.96818
capture,16,falling,45.0,13316,13319,13317,13317,13319,13317.600,3242477,3242789,3242633,49.92625,3,+0.82207
capture,17,falling,44.0,13040,13041,13043,13041,13040,13041.000,3273483,3273815,3273649,48.62969,3,+43.18589
capture,18,falling,43.0,12810,12808,12807,12806,12807,12807.600,3324464,3324759,3324611,47.53562,3,+0.45746
capture,19,falling,42.0,12558,12556,12557,12557,12559,12557.400,3352470,3352782,3352626,46.36281,3,+10.24506
capture,20,falling,41.0,12402,12404,12401,12403,12404,12402.800,3385472,3385770,3385621,45.63812,3,+0.87466
capture,21,falling,40.0,12181,12180,12178,12182,12183,12180.800,3449480,3449787,3449633,44.59750,3,+0.57449
capture,22,falling,40.0,12103,12103,12101,12102,12103,12102.400,3497468,3497739,3497603,44.23000,3,+0.34346
capture,23,falling,39.0,12104,12103,12102,12104,12103,12103.200,3498467,3498786,3498626,44.23375,3,+0.54175
