"branch","commit","archiveTag","disposition"
"Tab5","f00fecda97168916fd03b135ff80417a01eb9729","archive/beta-2026-09-16/Tab5","retain"
"agent/event-command-reconciliation","3f2248f44b726e6db28dba5d92aae944cdebb712","archive/beta-2026-09-16/agent/event-command-reconciliation","retire"
"agent/event-v3-checkpoint2-delivery","54b75b7409a1cfc48a627ec16d179574937e771a","archive/beta-2026-09-16/agent/event-v3-checkpoint2-delivery","retire"
"agent/event-v3-checkpoint2-tab5-staging","a416034dae6ef622c73d8b1d88dc10bc8208587f","archive/beta-2026-09-16/agent/event-v3-checkpoint2-tab5-staging","retire"
"agent/event-v3-contract","78ca53aff0998d87656016964838acc6881821e2","archive/beta-2026-09-16/agent/event-v3-contract","retire"
"agent/event-v3-executor","4a0199c550fea5b89ee94cea20f687e86d24e702","archive/beta-2026-09-16/agent/event-v3-executor","retire"
"agent/event-v3-kernel","211604a51e438e4d60e716e4b9013f519e0816b1","archive/beta-2026-09-16/agent/event-v3-kernel","retire"
"agent/event-v3-runtime","554a64657e5e82bf221f724c99962887423c405d","archive/beta-2026-09-16/agent/event-v3-runtime","retire"
"agent/event-v3-web-checkpoint1","d0b8a316f2e653654659b9bf7da50669d2372f7c","archive/beta-2026-09-16/agent/event-v3-web-checkpoint1","retire"
"agent/event-v3-web-deliver","f86f2499676a4d0bdf6395277f9648c325957412","archive/beta-2026-09-16/agent/event-v3-web-deliver","retire"
"agent/rules-runtime-package-delivery-v2","68110e903a6e41432d6bc17b33d199778038afc2","archive/beta-2026-09-16/agent/rules-runtime-package-delivery-v2","retire"
"agent/tab5-known-good-rebuild","844e398ac394a5772d68097622df979f2e55a1bb","archive/beta-2026-09-16/agent/tab5-known-good-rebuild","retire"
"agent/tab5-reproducible-validation-baseline","4a651121360253bd2487c7b51bbe8bb1b2943d43","archive/beta-2026-09-16/agent/tab5-reproducible-validation-baseline","retire"
"agent/tab5-rules-runtime-v2","3edfee614e6a133c2324a80f75e8f8eed07329fe","archive/beta-2026-09-16/agent/tab5-rules-runtime-v2","retire"
"agent/tab5-runtime-logging-v2","9c2eda488ffd4028c42186923e7f45419888496c","archive/beta-2026-09-16/agent/tab5-runtime-logging-v2","retire"
"agent/tab5-sd-qualification-v2","5d641c269371884b9dfc4eccbe1524fc081533fe","archive/beta-2026-09-16/agent/tab5-sd-qualification-v2","retire"
"claude/new-session-q10pbd","8e6207d765c9de4d0070f2630df00afa001de619","archive/beta-2026-09-16/claude/new-session-q10pbd","retire"
"claude/v3-engine-live","5a722f113eed6efb0daeb8601be7ae5394966965","archive/beta-2026-09-16/claude/v3-engine-live","retire"
"main","3a8b2f34e26c940798e1e3ff2f02539323a37572","archive/beta-2026-09-16/main","retain"
"pilot","150bb8ab6297062ca6a8157708f05700c6cd74d0","archive/beta-2026-09-16/pilot","retain"
"pilot-working","b368cf6a44db95a22a6623696a60cbf07f968a29","archive/beta-2026-09-16/pilot-working","retain"
"proposed/documentation-consolidation","74f8532368ce9292794b78665fa99d69e03947c8","archive/beta-2026-09-16/proposed/documentation-consolidation","retire"
"tab5-working","6b1210d97642481e7a7be53a4b727ec31d54a1ad","archive/beta-2026-09-16/tab5-working","retain"
